-___3---11---βίος — «жизнь» + λόγος — «учение, наука») — наука о живых существах и их взаимодействии со средой.
-___3---15---βίος — «жизнь» + λόγος — «учение, наука») — наука о живых существах и их взаимодействии со средой.
+___2---3---Как самостоятельная наука биология выделилась из естественных наук в XIX веке, когда учёные обнаружили, что все живые организмы обладают некоторыми общими свойствами и признаками, в совокупности не характерными для неживой природы.
-___3---7---Как самостоятельная наука биология выделилась из естественных наук в XIX веке, когда учёные обнаружили, что все живые организмы обладают некоторыми общими свойствами и признаками, в совокупности не характерными для неживой природы.
-___1---9---Биологическая картина мира В настоящее время биология — стандартный предмет в средних и высших учебных заведениях всего мира.
+___6---9---Биологическая картина мира В настоящее время биология — стандартный предмет в средних и высших учебных заведениях всего мира.
-___10---19---Называют пять принципов, объединяющих все биологические дисциплины в единую науку о живой материи[уточнить]:  Клеточная теория — учение обо всём, что касается клеток.
-___22---24---Чарльз Дарвин через пятьдесят лет установил, что её движущей силой является естественный отбор, так же как искусственный отбор сознательно применяется человеком для создания новых пород животных и сортов растений.
-___2---10---Биогеоценотический — уровень взаимодействия видов между собой и с различными факторами окружающей среды.
-___10---12---Биогеоценотический — уровень взаимодействия видов между собой и с различными факторами окружающей среды.
-___6---10---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___29---94---Например, дрожжи применяют в виноделии, пивоварении, хлебопечении, спиртовом производстве; молочнокислые бактерии — в производстве кисломолочных продуктов, сыров, при квашении овощей; уксуснокислые бактерии — в производстве уксуса; мицелиальные грибы используют для получения лимонной и других пищевых органических кислот и т. д. К настоящему времени выделились специальные разделы пищевой микробиологии: микробиология дрожжевого и хлебопекарного производства, пивоваренного производства, консервного производства, молока и молочных продуктов, уксуса, мясных и рыбных продуктов, маргарина и т. д.  Методы и цели микробиологии К методам исследования любых микроорганизмов относят:  микроскопия: световая (в том числе фазово-контрастная, темнопольная, флуоресцентная) и электронная; культуральный метод (бактериологический, вирусологический); биологический метод (заражение лабораторных животных с воспроизведением инфекционного процесса на чувствительных моделях); молекулярно-генетический метод (ПЦР, ДНК- и РНК-зонды и др.
-___36---73---Например, дрожжи применяют в виноделии, пивоварении, хлебопечении, спиртовом производстве; молочнокислые бактерии — в производстве кисломолочных продуктов, сыров, при квашении овощей; уксуснокислые бактерии — в производстве уксуса; мицелиальные грибы используют для получения лимонной и других пищевых органических кислот и т. д. К настоящему времени выделились специальные разделы пищевой микробиологии: микробиология дрожжевого и хлебопекарного производства, пивоваренного производства, консервного производства, молока и молочных продуктов, уксуса, мясных и рыбных продуктов, маргарина и т. д.  Методы и цели микробиологии К методам исследования любых микроорганизмов относят:  микроскопия: световая (в том числе фазово-контрастная, темнопольная, флуоресцентная) и электронная; культуральный метод (бактериологический, вирусологический); биологический метод (заражение лабораторных животных с воспроизведением инфекционного процесса на чувствительных моделях); молекулярно-генетический метод (ПЦР, ДНК- и РНК-зонды и др.
+___36---80---Например, дрожжи применяют в виноделии, пивоварении, хлебопечении, спиртовом производстве; молочнокислые бактерии — в производстве кисломолочных продуктов, сыров, при квашении овощей; уксуснокислые бактерии — в производстве уксуса; мицелиальные грибы используют для получения лимонной и других пищевых органических кислот и т. д. К настоящему времени выделились специальные разделы пищевой микробиологии: микробиология дрожжевого и хлебопекарного производства, пивоваренного производства, консервного производства, молока и молочных продуктов, уксуса, мясных и рыбных продуктов, маргарина и т. д.  Методы и цели микробиологии К методам исследования любых микроорганизмов относят:  микроскопия: световая (в том числе фазово-контрастная, темнопольная, флуоресцентная) и электронная; культуральный метод (бактериологический, вирусологический); биологический метод (заражение лабораторных животных с воспроизведением инфекционного процесса на чувствительных моделях); молекулярно-генетический метод (ПЦР, ДНК- и РНК-зонды и др.
-___70---73---Например, дрожжи применяют в виноделии, пивоварении, хлебопечении, спиртовом производстве; молочнокислые бактерии — в производстве кисломолочных продуктов, сыров, при квашении овощей; уксуснокислые бактерии — в производстве уксуса; мицелиальные грибы используют для получения лимонной и других пищевых органических кислот и т. д. К настоящему времени выделились специальные разделы пищевой микробиологии: микробиология дрожжевого и хлебопекарного производства, пивоваренного производства, консервного производства, молока и молочных продуктов, уксуса, мясных и рыбных продуктов, маргарина и т. д.  Методы и цели микробиологии К методам исследования любых микроорганизмов относят:  микроскопия: световая (в том числе фазово-контрастная, темнопольная, флуоресцентная) и электронная; культуральный метод (бактериологический, вирусологический); биологический метод (заражение лабораторных животных с воспроизведением инфекционного процесса на чувствительных моделях); молекулярно-генетический метод (ПЦР, ДНК- и РНК-зонды и др.
-___70---80---Например, дрожжи применяют в виноделии, пивоварении, хлебопечении, спиртовом производстве; молочнокислые бактерии — в производстве кисломолочных продуктов, сыров, при квашении овощей; уксуснокислые бактерии — в производстве уксуса; мицелиальные грибы используют для получения лимонной и других пищевых органических кислот и т. д. К настоящему времени выделились специальные разделы пищевой микробиологии: микробиология дрожжевого и хлебопекарного производства, пивоваренного производства, консервного производства, молока и молочных продуктов, уксуса, мясных и рыбных продуктов, маргарина и т. д.  Методы и цели микробиологии К методам исследования любых микроорганизмов относят:  микроскопия: световая (в том числе фазово-контрастная, темнопольная, флуоресцентная) и электронная; культуральный метод (бактериологический, вирусологический); биологический метод (заражение лабораторных животных с воспроизведением инфекционного процесса на чувствительных моделях); молекулярно-генетический метод (ПЦР, ДНК- и РНК-зонды и др.
+___29---30---); серологический метод — выявления антигенов микроорганизмов или антител к ним (ИФА).Цель медицинской микробиологии — изучение структуры и свойств патогенных микробов, взаимоотношения их с организмом человека в определенных условиях природной и социальной среды, совершенствование методов микробиологической диагностики, разработка новых, более эффективных лечебных и профилактических препаратов, решение такой важной проблемы, как ликвидация и предупреждение инфекционных болезней.
+___30---32---Общая изучает наиболее общие закономерности, свойственные каждой группе перечисленных микроорганизмов: структуру, метаболизм, генетику, экологию и т. д. Техническая занимается разработкой биотехнологии синтеза микроорганизмами биологически активных веществ: белков, нуклеиновых кислот, антибиотиков, спиртов, ферментов, а также редких неорганических соединений.
+___30---35---Общая изучает наиболее общие закономерности, свойственные каждой группе перечисленных микроорганизмов: структуру, метаболизм, генетику, экологию и т. д. Техническая занимается разработкой биотехнологии синтеза микроорганизмами биологически активных веществ: белков, нуклеиновых кислот, антибиотиков, спиртов, ферментов, а также редких неорганических соединений.
-___30---39---Общая изучает наиболее общие закономерности, свойственные каждой группе перечисленных микроорганизмов: структуру, метаболизм, генетику, экологию и т. д. Техническая занимается разработкой биотехнологии синтеза микроорганизмами биологически активных веществ: белков, нуклеиновых кислот, антибиотиков, спиртов, ферментов, а также редких неорганических соединений.
-___30---41---Общая изучает наиболее общие закономерности, свойственные каждой группе перечисленных микроорганизмов: структуру, метаболизм, генетику, экологию и т. д. Техническая занимается разработкой биотехнологии синтеза микроорганизмами биологически активных веществ: белков, нуклеиновых кислот, антибиотиков, спиртов, ферментов, а также редких неорганических соединений.
-___35---47---Общая изучает наиболее общие закономерности, свойственные каждой группе перечисленных микроорганизмов: структуру, метаболизм, генетику, экологию и т. д. Техническая занимается разработкой биотехнологии синтеза микроорганизмами биологически активных веществ: белков, нуклеиновых кислот, антибиотиков, спиртов, ферментов, а также редких неорганических соединений.
-___6---12---Сельскохозяйственная исследует роль микроорганизмов в круговороте веществ, использует их для синтеза удобрений, борьбы с вредителями.
-___9---14---пособие для студентов вузов, обучающихся по направлению «Биология», специальностям «Микробиология», «Биотехнология».
+___4---11---Allgemeine Biologie) — наука (научная дисциплина, биологическая область знания, а также соответствующая учебная дисциплина), изучающая основные и общие для всех организмов закономерности жизненных явлений.
-___3---10---Так как общая биология включает в себя ряд других самостоятельных наук, её часто вместо науки определяют как область биологии, исследующая наиболее общие, присущие всем живым существам закономерности.
-___3---15---Так как общая биология включает в себя ряд других самостоятельных наук, её часто вместо науки определяют как область биологии, исследующая наиболее общие, присущие всем живым существам закономерности.
+___10---19---Так как общая биология включает в себя ряд других самостоятельных наук, её часто вместо науки определяют как область биологии, исследующая наиболее общие, присущие всем живым существам закономерности.
+___10---27---Следует отметить, что по мнению ученых, в современной науке, результаты которой обычно публикуют в журналах с высоким импакт-фактором, такой науки как «Общая биология» (General Biology), аналогично «общей физике», не существует.
-___10---37---Следует отметить, что по мнению ученых, в современной науке, результаты которой обычно публикуют в журналах с высоким импакт-фактором, такой науки как «Общая биология» (General Biology), аналогично «общей физике», не существует.
+___23---27---Следует отметить, что по мнению ученых, в современной науке, результаты которой обычно публикуют в журналах с высоким импакт-фактором, такой науки как «Общая биология» (General Biology), аналогично «общей физике», не существует.
-___23---37---Следует отметить, что по мнению ученых, в современной науке, результаты которой обычно публикуют в журналах с высоким импакт-фактором, такой науки как «Общая биология» (General Biology), аналогично «общей физике», не существует.
-___4---6---Г. Р. Тревиранус определяет биологию как  науку о общих характеристиках у животных и растений, а также специальных предметных рубрик, которые изучали его предшественники, в частности К. Линней .
-___1---38---Общую биологию как отдельный курс начали преподавать в первой половине XX века, что было связано с успехами в изучении клетки, микробиологическими исследованиями, открытиями генетики, словом — превращением биологии из вспомогательной, частной, описательной науки (зоология, ботаника, систематика) в самостоятельную и чрезвычайно востребованную область знаний.
-___1---40---Общую биологию как отдельный курс начали преподавать в первой половине XX века, что было связано с успехами в изучении клетки, микробиологическими исследованиями, открытиями генетики, словом — превращением биологии из вспомогательной, частной, описательной науки (зоология, ботаника, систематика) в самостоятельную и чрезвычайно востребованную область знаний.
-___28---38---Общую биологию как отдельный курс начали преподавать в первой половине XX века, что было связано с успехами в изучении клетки, микробиологическими исследованиями, открытиями генетики, словом — превращением биологии из вспомогательной, частной, описательной науки (зоология, ботаника, систематика) в самостоятельную и чрезвычайно востребованную область знаний.
-___31---38---Общую биологию как отдельный курс начали преподавать в первой половине XX века, что было связано с успехами в изучении клетки, микробиологическими исследованиями, открытиями генетики, словом — превращением биологии из вспомогательной, частной, описательной науки (зоология, ботаника, систематика) в самостоятельную и чрезвычайно востребованную область знаний.
-___31---40---Общую биологию как отдельный курс начали преподавать в первой половине XX века, что было связано с успехами в изучении клетки, микробиологическими исследованиями, открытиями генетики, словом — превращением биологии из вспомогательной, частной, описательной науки (зоология, ботаника, систематика) в самостоятельную и чрезвычайно востребованную область знаний.
-___38---40---Общую биологию как отдельный курс начали преподавать в первой половине XX века, что было связано с успехами в изучении клетки, микробиологическими исследованиями, открытиями генетики, словом — превращением биологии из вспомогательной, частной, описательной науки (зоология, ботаника, систематика) в самостоятельную и чрезвычайно востребованную область знаний.
-___38---42---Общую биологию как отдельный курс начали преподавать в первой половине XX века, что было связано с успехами в изучении клетки, микробиологическими исследованиями, открытиями генетики, словом — превращением биологии из вспомогательной, частной, описательной науки (зоология, ботаника, систематика) в самостоятельную и чрезвычайно востребованную область знаний.
-___4---6---504 стр.. Как учебная дисциплина общая биология преподаётся в старших классах средней школы с 1963 года, а в 1966 году была опубликована книга «Общая биология» под редакцией Ю.И.Полянского, используемая в качестве учебного пособия.
-___4---26---504 стр.. Как учебная дисциплина общая биология преподаётся в старших классах средней школы с 1963 года, а в 1966 году была опубликована книга «Общая биология» под редакцией Ю.И.Полянского, используемая в качестве учебного пособия.
-___4---11---Основные разделы Традиционно общая биология включает: цитологию, эмбриологию, гистологию, селекцию, генетику, биологическую химию, молекулярную биологию, биотехнологию, экологию, биологию развития, эволюционное учение, учение о биосфере и учение о человеке (биологический аспект).
-___11---21---Основные разделы Традиционно общая биология включает: цитологию, эмбриологию, гистологию, селекцию, генетику, биологическую химию, молекулярную биологию, биотехнологию, экологию, биологию развития, эволюционное учение, учение о биосфере и учение о человеке (биологический аспект).
-___11---27---Основные разделы Традиционно общая биология включает: цитологию, эмбриологию, гистологию, селекцию, генетику, биологическую химию, молекулярную биологию, биотехнологию, экологию, биологию развития, эволюционное учение, учение о биосфере и учение о человеке (биологический аспект).
-___6---11---По уровню сложности и разграничиваются естественные науки: атомы — исследует физика, молекулы — объект изучения химии, а с уровня макромолекул начинается биология.
-___6---17---По уровню сложности и разграничиваются естественные науки: атомы — исследует физика, молекулы — объект изучения химии, а с уровня макромолекул начинается биология.
-___6---24---По уровню сложности и разграничиваются естественные науки: атомы — исследует физика, молекулы — объект изучения химии, а с уровня макромолекул начинается биология.
+___13---22---По уровню сложности и разграничиваются естественные науки: атомы — исследует физика, молекулы — объект изучения химии, а с уровня макромолекул начинается биология.
+___1---3---Связанные науки Теоретическая биология Эрвин Бауэр в своей книге «Теоретическая биология» рассматривает общую биологию как теоретическую науку, одной из основных задач которой является открытие и описание общих законов движения живой материи .
+___1---11---Связанные науки Теоретическая биология Эрвин Бауэр в своей книге «Теоретическая биология» рассматривает общую биологию как теоретическую науку, одной из основных задач которой является открытие и описание общих законов движения живой материи .
-___1---15---Связанные науки Теоретическая биология Эрвин Бауэр в своей книге «Теоретическая биология» рассматривает общую биологию как теоретическую науку, одной из основных задач которой является открытие и описание общих законов движения живой материи .
-___3---18---Связанные науки Теоретическая биология Эрвин Бауэр в своей книге «Теоретическая биология» рассматривает общую биологию как теоретическую науку, одной из основных задач которой является открытие и описание общих законов движения живой материи .
+___11---18---Связанные науки Теоретическая биология Эрвин Бауэр в своей книге «Теоретическая биология» рассматривает общую биологию как теоретическую науку, одной из основных задач которой является открытие и описание общих законов движения живой материи .
-___15---18---Связанные науки Теоретическая биология Эрвин Бауэр в своей книге «Теоретическая биология» рассматривает общую биологию как теоретическую науку, одной из основных задач которой является открытие и описание общих законов движения живой материи .
-___1---3---Ссылки Ботаника как наука.
-___9---15---Опыты проводятся в университетах, медицинских училищах, фармацевтических компаниях, фермерских хозяйствах, оборонных предприятиях и коммерческих лабораториях (которые обслуживают нужды промышленности).
-___3---5---Опыты относятся к генетике, биологии развития, этологии и прикладным исследованиям типа биомедицинских, ксенотрансплантации, тестирования лекарств, токсикологических опытов (в том числе тестирование косметики и бытовой химии).
+___5---6---Животных использовали на протяжении всей истории науки.
+___9---14---В 1880-м году Луи Пастер доказал микробную природу некоторых болезней, искусственно вызвав сибирскую язву у овцы.
+___12---35---Клод Бернар, известный, как «принц вивисекции» и отец физиологии (его жена Мэри Франсуа Мартин основала первое анти-вивисекционное общество во Франции в 1883 году) писал в 1865-м году: «наука о жизни — это восхитительный и сверкающий зал, попасть в который можно только через большую, грязную кухню».
+___35---37---Клод Бернар, известный, как «принц вивисекции» и отец физиологии (его жена Мэри Франсуа Мартин основала первое анти-вивисекционное общество во Франции в 1883 году) писал в 1865-м году: «наука о жизни — это восхитительный и сверкающий зал, попасть в который можно только через большую, грязную кухню».
+___21---27---В Великобритании министерство внутренних дел сообщило, что в 2007 году было выполнено около 3,2 миллионов процедур на примерно таком же количестве лабораторных животных (самый высокий показатель с 1992 года, на 189 500 больше, чем в предыдущем году).
+___4---7---Однако слабо развитая иммунная система и простота органов не позволяет использовать их для разработки вакцин, поэтому мухи чаще всего не пригодны для прикладных медицинских исследований, так как их иммунная система сильно отличается от человеческой.
-___7---31---Однако слабо развитая иммунная система и простота органов не позволяет использовать их для разработки вакцин, поэтому мухи чаще всего не пригодны для прикладных медицинских исследований, так как их иммунная система сильно отличается от человеческой.
-___4---9---Большинство из них: макаки, мартышки, паукообразные обезьяны, беличьи обезьяны, павианы и шимпанзе в США.
-___4---12---Большинство из них: макаки, мартышки, паукообразные обезьяны, беличьи обезьяны, павианы и шимпанзе в США.
-___6---9---Большинство из них: макаки, мартышки, паукообразные обезьяны, беличьи обезьяны, павианы и шимпанзе в США.
-___6---12---Большинство из них: макаки, мартышки, паукообразные обезьяны, беличьи обезьяны, павианы и шимпанзе в США.
-___9---14---Большинство из них: макаки, мартышки, паукообразные обезьяны, беличьи обезьяны, павианы и шимпанзе в США.
-___9---16---Большинство из них: макаки, мартышки, паукообразные обезьяны, беличьи обезьяны, павианы и шимпанзе в США.
+___12---14---Большинство из них: макаки, мартышки, паукообразные обезьяны, беличьи обезьяны, павианы и шимпанзе в США.
+___12---16---Большинство из них: макаки, мартышки, паукообразные обезьяны, беличьи обезьяны, павианы и шимпанзе в США.
+___20---33---Например, в 1966 году после принятия в США закона о благополучии животных сенатский комитет отчитался об обнаруженных в лабораториях института Майо, университета Пенсильвании, Стэнфордском университете, Гарварде, Йельской медицинской школе похищенных животных, что привлекло большое внимание общественности.
+___16---27---Боль и страдания По данным Департамента сельского хозяйства США, в 2006 году около 670 000 животных (57 %, без учёта крыс, мышей, птиц и беспозвоночных) использовались в опытах, не причиняющих более, чем мгновенную боль.
+___6---7---Руководство указывает, что умение распознавать симптомы боли у разных видов чрезвычайно важно для эффективного применения обезболивающих и для эффективности исследований.
+___5---12---В случаях, когда пневматический пистолет невозможно использовать, может применяться огнестрельное оружие.
+___5---7---Электрошок применяется против крупного рогатого скота, овец, свиней, лис, норок (с предвратительным оглушением для потери сознания).
-___2---8---В изучениях функций мозга (таких, как память и социальное поведение) часто применяют крыс и птиц.
+___7---12---В иных случаях имитируются сложные, многофакторные заболевания с генетическими компонентами (диабет, рак).
-___7---14---В иных случаях имитируются сложные, многофакторные заболевания с генетическими компонентами (диабет, рак).
-___6---8---Такое моделирование позволяет понять процесс и причины развития болезней, а также разрабатывать и испытывать новые лекарства.
+___10---22---Среди подобного — прекращение тока крови в мозг для провокации инсульта, ввод нейротоксинов для вызова повреждений, сходных с оными при болезни Паркинсона.
+___5---44---дикие бабуины были импортированы в Великобританию из Африки для экспериментов типа пересадки свиных почек и сердец на шеи, животы и груди бабуинов; некоторые бабуины умерли, страдая от рвоты, инсультов, диареи и паралича, другие умерли на пути в Соединённое Королевство.
-___10---18---Исследуемые препараты могут давать как однократно, так и множество раз, вплоть до приёма в течение всей жизни животного.
-___10---46---Раздражение вещества измеряется тестом Дрейза: нанесением на кожу или глаза животного, обычно белого кролика; предписанный протокол включает наблюдение эффектов вещества в интервалы времени, измерение раздражения и повреждений, причем опыт должен быть остановлен с последующим убийством животного, если оно показывает продолжающиеся признаки жестокой боли или расстройства.
-___21---48---Раздражение вещества измеряется тестом Дрейза: нанесением на кожу или глаза животного, обычно белого кролика; предписанный протокол включает наблюдение эффектов вещества в интервалы времени, измерение раздражения и повреждений, причем опыт должен быть остановлен с последующим убийством животного, если оно показывает продолжающиеся признаки жестокой боли или расстройства.
+___35---39---Некоторые число тестов проводится за менее, чем месяц (называются «острые»), от 1 до 3 месяцев (подхронические) или более (хронические) для определения общей токсичности (повреждений органов), раздражения кожи и глаз, мутагенности, канцерогенности, тератогенности, воздействия на функции размножения.
+___35---41---Некоторые число тестов проводится за менее, чем месяц (называются «острые»), от 1 до 3 месяцев (подхронические) или более (хронические) для определения общей токсичности (повреждений органов), раздражения кожи и глаз, мутагенности, канцерогенности, тератогенности, воздействия на функции размножения.
+___18---24---Тесты хронической токсичности могут длиться до 2 лет и, в ЕС, должны проводиться на двух видах млекопитающих, один из которых не грызун.
-___8---9---Поэтому, по его мнению, ради сохранения жизни людей, допустимо убивать животных.
+___6---22---Летом 1981 года активист движения за права животных Алекс Пачеко, один из основателей организации PETA, устроился на работу в лабораторию Института изучения поведения (Institute of Behavioral Research).
-___10---24---Несмотря на то, что рождение Долли было прорывом в науке, эксперимент вызвал дебаты о возможном клонировании не только овец, но и людей.
-___21---28---Усовершенствование методов исследований, позволяющих минимизировать боль и страдания лабораторных животных, а также улучшить условия их содержания  Примечания Ссылки Жертвы науки (научно-популярная статья из журнала «Химия и жизнь») Письмо Минсельхоза России№ 13-03-2/358 от 22.02.05 «О современных альтернативах использованию животных в учебном процессе» Методические указания по проведению токсикологических исследований ингредиентов косметических средств в эксперименте на животных (утв.
+___21---30---Усовершенствование методов исследований, позволяющих минимизировать боль и страдания лабораторных животных, а также улучшить условия их содержания  Примечания Ссылки Жертвы науки (научно-популярная статья из журнала «Химия и жизнь») Письмо Минсельхоза России№ 13-03-2/358 от 22.02.05 «О современных альтернативах использованию животных в учебном процессе» Методические указания по проведению токсикологических исследований ингредиентов косметических средств в эксперименте на животных (утв.
-___7---18---В медицине К главным показателям жизненно важных функций относятся:  Температура тела Частота сердечных сокращений или пульс Частота дыхания Артериальное давлениеДля установления этих показателей необходимы: термометр, сфигмоманометр и часы.
+___3---60---Дополнительными способами установить признаки жизни являются:  Способность чувствовать боль, в том числе эмоциональную.Некоторыми специалистами отмечается что боль — субъективный синдром, а не объективный признак, и поэтому не может являться предметом классификации.Пульсовая оксиметрияОптический метод измерения насыщения крови кислородом.СпирометрияИзмерение жизненной ёмкости лёгких.Способность регулировать экскреторные функции (мочеиспускание и дефекацию) Измерение уровня глюкозы в крови   == Примечания == Пол — совокупность генетически и гормонально детерминированных гонадно-гистологической, анатомической и морфофункциональной характеристик организма, обобщающая все его разнообразные специфически репродуктивные (половые) особенности, отличающие его от представителей другого биологического пола данного вида организмов и определяющие его роль в процессе оплодотворения при половом размножении.
